SectorID,Start,End,Duration
FL131,2020-52,2021-13,14
FL132,2018-6,2018-21,16
FL132,2018-23,2018-28,6
FL132,2018-37,2018-51,15
FL132,2019-12,2019-27,16
FL132,2019-29,2019-32,4
FL132,2019-40,2019-44,5
FL132,2019-52,2020-5,6
FL132,2020-12,2020-18,7
FL132,2020-20,2020-25,6
FL132,2020-27,2020-34,8
FL132,2021-4,2021-7,4
FL133,2018-3,2018-13,11
FL133,2018-22,2019-2,33
FL133,2019-4,2019-10,7
FL133,2019-12,2019-16,5
FL133,2019-18,2019-33,16
FL133,2019-49,2020-1,5
FL133,2020-3,2020-15,13
FL133,2020-17,2020-29,13
FL133,2020-33,2020-46,14
FL133,2021-3,2021-8,6
FL134,2018-22,2018-26,5
FL134,2018-45,2018-50,6
FL134,2020-19,2020-25,7
FL135,2018-26,2018-30,5
FL135,2018-39,2018-42,4
FL135,2019-14,2019-18,5
FL135,2019-24,2019-27,4
FL135,2019-49,2020-3,7
FL135,2020-9,2020-16,8
FL135,2020-27,2020-31,5
FL135,2020-36,2020-40,5
FL135,2021-2,2021-6,5
FL136,2019-4,2019-7,4
FL136,2019-11,2019-19,9
FL136,2019-25,2019-31,7
FL136,2019-42,2019-45,4
FL136,2019-51,2020-13,15
FL136,2020-49,2021-4,8
FL139,2018-28,2018-31,4
FL14,2018-1,2018-38,38
FL14,2018-40,2019-9,22
FL14,2019-17,2019-23,7
FL14,2019-25,2019-33,9
FL14,2019-43,2020-13,23
FL14,2020-15,2020-18,4
FL14,2020-23,2020-33,11
FL14,2020-35,2021-13,31
FL140,2019-14,2019-17,4
FL140,2019-51,2020-11,13
FL140,2020-13,2021-6,46
FL141,2019-17,2019-20,4
FL142,2019-12,2019-15,4
FL142,2019-21,2019-26,6
FL144,2018-1,2018-8,8
FL144,2018-10,2018-19,10
FL144,2018-21,2018-28,8
FL144,2018-30,2018-40,11
FL144,2018-44,2018-47,4
FL144,2018-52,2019-6,7
FL144,2019-12,2019-17,6
FL144,2019-19,2019-29,11
FL144,2019-31,2019-34,4
FL144,2019-36,2019-47,12
FL144,2019-49,2020-14,18
FL144,2020-16,2020-24,9
FL144,2020-41,2021-13,25
FL145,2018-2,2018-19,18
FL145,2018-24,2018-27,4
FL145,2020-45,2020-48,4
FL145,2021-9,2021-12,4
FL146,2018-6,2018-9,4
FL146,2018-15,2018-21,7
FL146,2018-31,2018-34,4
FL146,2019-5,2019-10,6
FL146,2019-20,2019-24,5
FL146,2019-28,2019-31,4
FL146,2019-42,2019-45,4
FL146,2020-11,2020-18,8
FL146,2020-20,2020-25,6
FL146,2020-39,2020-43,5
FL146,2020-45,2021-13,21
FL147,2018-42,2018-48,7
FL147,2019-5,2019-10,6
FL147,2019-13,2019-16,4
FL147,2019-24,2019-28,5
FL147,2020-2,2020-13,12
FL147,2021-3,2021-13,11
FL148,2018-3,2018-6,4
FL148,2020-42,2020-45,4
FL149,2018-4,2018-10,7
FL149,2018-21,2018-24,4
FL149,2018-34,2018-37,4
FL149,2020-1,2020-5,5
FL149,2020-22,2020-25,4
FL149,2021-5,2021-12,8
FL15,2018-1,2018-27,27
FL15,2018-39,2018-42,4
FL15,2018-47,2019-3,9
FL15,2019-26,2019-29,4
FL15,2020-1,2020-15,15
FL15,2020-23,2020-34,12
FL15,2020-42,2020-45,4
FL15,2020-48,2020-51,4
FL15,2021-3,2021-13,11
FL153,2020-41,2020-44,4
FL155,2019-52,2020-4,5
FL155,2020-13,2020-16,4
FL155,2020-18,2020-22,5
FL155,2020-27,2020-32,6
FL155,2020-35,2020-38,4
FL155,2020-40,2020-50,11
FL155,2020-52,2021-13,14
FL157,2020-38,2021-1,16
FL158,2018-29,2018-32,4
FL158,2020-22,2020-27,6
FL159,2018-12,2018-17,6
FL159,2018-20,2018-25,6
FL159,2020-6,2020-11,6
FL159,2020-40,2020-43,4
FL159,2021-4,2021-7,4
FL159,2021-9,2021-13,5
FL16,2018-15,2018-21,7
FL16,2018-23,2018-30,8
FL16,2018-41,2019-1,13
FL16,2019-3,2019-6,4
FL16,2019-17,2019-33,17
FL16,2019-43,2019-46,4
FL16,2020-2,2020-8,7
FL16,2020-16,2020-30,15
FL16,2020-47,2020-51,5
FL16,2021-1,2021-13,13
FL160,2018-1,2018-22,22
FL160,2018-24,2018-33,10
FL160,2018-36,2018-42,7
FL160,2018-51,2019-2,4
FL160,2019-18,2019-23,6
FL160,2019-27,2019-30,4
FL160,2019-32,2019-48,17
FL160,2019-50,2020-20,23
FL160,2020-22,2020-26,5
FL160,2020-28,2021-3,28
FL160,2021-5,2021-13,9
FL161,2018-1,2018-17,17
FL161,2019-4,2019-10,7
FL161,2019-16,2019-27,12
FL161,2020-1,2020-5,5
FL161,2020-20,2020-36,17
FL161,2020-38,2020-51,14
FL161,2021-1,2021-13,13
FL162,2020-2,2020-5,4
FL162,2020-19,2020-23,5
FL162,2020-43,2021-10,20
FL163,2019-16,2019-20,5
FL164,2018-49,2019-1,5
FL164,2019-18,2019-24,7
FL164,2019-26,2019-32,7
FL164,2019-42,2019-46,5
FL164,2020-5,2020-9,5
FL164,2021-4,2021-7,4
FL166,2018-3,2018-8,6
FL166,2018-19,2018-23,5
FL166,2018-25,2018-30,6
FL166,2018-34,2018-43,10
FL166,2019-22,2019-29,8
FL166,2019-50,2020-3,6
FL167,2020-6,2020-14,9
FL167,2020-17,2020-24,8
FL167,2020-46,2020-52,7
FL168,2018-4,2018-7,4
FL168,2018-27,2018-34,8
FL168,2018-49,2018-52,4
FL168,2019-48,2019-51,4
FL17,2018-1,2018-15,15
FL17,2018-17,2018-30,14
FL17,2018-32,2018-52,21
FL17,2019-2,2019-7,6
FL17,2019-16,2019-29,14
FL17,2019-42,2020-8,19
FL17,2020-46,2020-50,5
FL17,2021-2,2021-6,5
FL171,2018-11,2018-15,5
FL171,2018-22,2018-27,6
FL171,2019-19,2019-27,9
FL171,2020-16,2020-20,5
FL172,2018-13,2018-17,5
FL172,2018-19,2018-23,5
FL172,2018-25,2018-29,5
FL172,2018-31,2018-39,9
FL172,2018-45,2019-1,9
FL172,2019-9,2019-23,15
FL172,2020-3,2021-4,54
FL173,2018-3,2018-6,4
FL173,2019-19,2019-23,5
FL173,2020-19,2020-23,5
FL173,2021-7,2021-11,5
FL174,2018-43,2018-47,5
FL174,2018-49,2019-3,7
FL174,2019-43,2019-49,7
FL174,2020-15,2020-27,13
FL174,2020-38,2021-13,28
FL175,2018-1,2018-15,15
FL175,2019-42,2019-45,4
FL175,2020-20,2020-27,8
FL176,2018-41,2018-45,5
FL176,2019-19,2019-28,10
FL176,2020-13,2020-19,7
FL176,2020-21,2020-24,4
FL176,2020-28,2020-33,6
FL176,2020-35,2021-6,24
FL176,2021-8,2021-11,4
FL177,2018-39,2018-43,5
FL178,2018-18,2018-22,5
FL178,2018-33,2018-46,14
FL178,2018-48,2018-51,4
FL178,2019-7,2019-13,7
FL178,2019-16,2019-20,5
FL178,2019-25,2019-31,7
FL178,2019-44,2019-49,6
FL178,2019-51,2020-5,7
FL178,2020-26,2020-29,4
FL178,2021-1,2021-11,11
FL18,2018-4,2018-7,4
FL18,2018-9,2018-24,16
FL18,2018-40,2019-2,15
FL18,2019-10,2019-29,20
FL18,2019-31,2019-36,6
FL18,2019-47,2020-3,9
FL18,2020-24,2020-28,5
FL18,2020-38,2020-42,5
FL18,2020-44,2021-13,22
FL181,2018-10,2018-18,9
FL181,2018-24,2018-28,5
FL181,2019-21,2019-28,8
FL181,2019-50,2020-4,7
FL181,2020-10,2020-13,4
FL181,2020-18,2020-23,6
FL181,2020-25,2020-28,4
FL181,2020-50,2021-1,4
FL181,2021-7,2021-11,5
FL182,2018-7,2018-10,4
FL182,2018-19,2018-23,5
FL182,2018-35,2018-42,8
FL182,2018-45,2018-48,4
FL182,2018-50,2019-3,6
FL182,2020-1,2020-6,6
FL182,2020-8,2020-11,4
FL182,2020-13,2020-16,4
FL182,2020-27,2020-30,4
FL182,2020-32,2020-37,6
FL182,2020-43,2020-52,10
FL182,2021-2,2021-7,6
FL183,2018-2,2018-8,7
FL183,2018-11,2018-14,4
FL183,2018-19,2018-29,11
FL183,2018-31,2018-35,5
FL183,2018-37,2018-41,5
FL183,2018-48,2018-52,5
FL183,2019-21,2019-29,9
FL183,2019-48,2019-51,4
FL183,2020-1,2020-6,6
FL183,2020-11,2020-16,6
FL183,2020-23,2020-28,6
FL183,2020-51,2021-4,6
