SectorID,Start,End,Duration
CO313,2020-12,2020-17,6
CO313,2020-19,2020-25,7
CO313,2020-27,2021-13,39
CO315,2020-39,2020-43,5
CO315,2020-50,2021-1,4
CO315,2021-3,2021-8,6
CO316,2020-28,2020-31,4
CO316,2020-33,2020-37,5
CO316,2020-39,2021-10,24
CO361,2020-38,2020-44,7
CO361,2020-46,2021-3,10
FL1,2019-25,2019-28,4
FL1,2020-50,2021-8,11
FL10,2018-1,2018-9,9
FL10,2018-15,2018-26,12
FL10,2018-45,2019-4,12
FL10,2019-8,2019-14,7
FL10,2019-16,2019-40,25
FL10,2019-46,2020-15,22
FL10,2020-50,2021-6,9
FL10,2021-8,2021-13,6
FL100,2020-29,2020-32,4
FL100,2020-48,2020-52,5
FL101,2020-31,2020-34,4
FL101,2020-52,2021-4,5
FL101,2021-6,2021-13,8
FL103,2018-7,2018-11,5
FL103,2018-20,2018-28,9
FL103,2018-35,2018-40,6
FL103,2018-51,2019-3,5
FL103,2019-6,2019-10,5
FL103,2019-45,2020-26,34
FL103,2020-32,2020-35,4
FL104,2018-2,2018-5,4
FL104,2019-45,2019-49,5
FL104,2020-4,2020-12,9
FL104,2020-24,2020-27,4
FL104,2021-1,2021-4,4
FL104,2021-10,2021-13,4
FL105,2018-1,2019-24,76
FL105,2019-26,2021-13,92
FL106,2018-11,2018-14,4
FL106,2018-19,2018-27,9
FL106,2018-29,2018-32,4
FL106,2019-10,2019-15,6
FL106,2020-1,2020-5,5
FL106,2020-29,2020-37,9
FL106,2021-1,2021-4,4
FL106,2021-9,2021-13,5
FL107,2018-1,2018-9,9
FL107,2018-15,2018-24,10
FL107,2018-26,2018-33,8
FL107,2018-41,2018-44,4
FL107,2018-52,2019-3,4
FL107,2019-9,2019-12,4
FL107,2019-14,2019-18,5
FL107,2019-20,2019-37,18
FL107,2019-47,2021-13,71
FL108,2018-1,2018-28,28
FL108,2018-30,2018-34,5
FL108,2018-38,2018-43,6
FL108,2018-48,2019-2,7
FL108,2019-5,2019-8,4
FL108,2019-14,2019-19,6
