SectorID,Start,End,Duration
CO130,2021-6,2021-10,5
CO313,2020-6,2020-10,5
CO313,2020-12,2021-13,54
CO315,2020-32,2020-37,6
CO315,2020-39,2020-48,10
CO315,2020-50,2021-1,4
CO315,2021-3,2021-13,11
CO316,2020-18,2020-25,8
CO316,2020-28,2020-31,4
CO316,2020-33,2020-37,5
CO316,2020-39,2021-10,24
CO361,2020-14,2020-18,5
CO361,2020-38,2021-11,26
FL1,2019-10,2019-14,5
FL1,2019-22,2019-28,7
FL1,2020-2,2020-5,4
FL1,2020-17,2020-20,4
FL1,2020-42,2020-45,4
FL1,2020-47,2021-13,19
FL10,2018-1,2018-36,36
FL10,2018-42,2019-40,51
FL10,2019-44,2020-15,24
FL10,2020-21,2020-24,4
FL10,2020-30,2020-33,4
FL10,2020-49,2021-13,17
FL100,2018-38,2018-41,4
FL100,2020-3,2020-9,7
FL100,2020-27,2020-33,7
FL100,2020-35,2020-46,12
FL100,2020-48,2020-52,5
FL100,2021-4,2021-8,5
FL100,2021-10,2021-13,4
FL101,2020-16,2020-20,5
FL101,2020-29,2020-34,6
FL101,2020-45,2021-13,21
FL103,2018-5,2018-11,7
FL103,2018-20,2018-28,9
FL103,2018-35,2018-40,6
FL103,2018-51,2019-3,5
FL103,2019-6,2019-10,5
FL103,2019-12,2019-17,6
FL103,2019-45,2020-30,38
FL103,2020-32,2020-35,4
FL103,2020-41,2020-44,4
FL103,2020-49,2021-13,17
FL104,2018-1,2018-5,5
FL104,2019-4,2019-7,4
FL104,2019-45,2019-49,5
FL104,2019-51,2020-13,15
FL104,2020-15,2020-18,4
FL104,2020-20,2020-29,10
FL104,2020-35,2020-39,5
FL104,2021-1,2021-4,4
FL104,2021-6,2021-13,8
FL105,2018-1,2021-13,169
FL106,2018-8,2018-17,10
FL106,2018-19,2018-27,9
FL106,2018-29,2018-39,11
FL106,2018-47,2019-3,9
FL106,2019-10,2019-15,6
FL106,2019-25,2019-28,4
FL106,2020-1,2020-5,5
FL106,2020-11,2020-14,4
FL106,2020-29,2020-37,9
FL106,2020-47,2020-51,5
FL106,2021-1,2021-4,4
FL106,2021-8,2021-13,6
FL107,2018-1,2018-9,9
FL107,2018-11,2018-24,14
FL107,2018-26,2018-33,8
FL107,2018-41,2018-44,4
FL107,2018-46,2018-50,5
